   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),"ให้เกียรติมาก 
(Highly Respectful)",ให้เกียรติ (Respectful),"ปกติ 
(Normal)",ไม่ให้เกียรติ (Disrespectful),ไม่ให้เกียรติมาก (Highly Disrespectful),"บอกไม่ได้ 
(Cannot describe)",
น้อ,,,//,,,,เสร็จสิ้น
นะจ๊ะ,,//,,,,,เสร็จสิ้น
มีต,,,//,,,,เสร็จสิ้น
ประโยค,,,//,,,,เสร็จสิ้น
ทุน,,,//,,,,เสร็จสิ้น
น้อง,,//,,,,,เสร็จสิ้น
ถ้ำมอง,,,,,//,,เสร็จสิ้น
มะม่วง,,,//,,,,เสร็จสิ้น
อดทน,,,//,,,,เสร็จสิ้น
ขอนแก่น,,,//,,,,เสร็จสิ้น
ได้,,,//,,,,เสร็จสิ้น
หื้มมม,,,,//,,,เสร็จสิ้น
คิว,,,//,,,,เสร็จสิ้น
คุณ,//,,,,,,เสร็จสิ้น
โรงพยาบาล,,,//,,,,เสร็จสิ้น
เอ้อ,,,//,,,,เสร็จสิ้น
คลิป,,,//,,,,เสร็จสิ้น
มี๊,,//,,,,,เสร็จสิ้น
ตั้ง,,,//,,,,เสร็จสิ้น
สุดที่รัก,//,,,,,,เสร็จสิ้น
หน่วย,,,//,,,,เสร็จสิ้น
พริก,,,//,,,,เสร็จสิ้น
เพา,,,//,,,,เสร็จสิ้น
ผัก,,,//,,,,เสร็จสิ้น
กัน,,,//,,,,เสร็จสิ้น
อร๊ายยย,,,,//,,,เสร็จสิ้น
ประธาน,//,,,,,,เสร็จสิ้น
ไก่,,,//,,,,เสร็จสิ้น
นะ,,,//,,,,เสร็จสิ้น
ปั้ม,,,//,,,,เสร็จสิ้น
โอ้,,,//,,,,เสร็จสิ้น
แฟน,,//,,,,,เสร็จสิ้น
งับ,,//,,,,,เสร็จสิ้น
กำแพง,,,//,,,,เสร็จสิ้น
จักรวาล,,,//,,,,เสร็จสิ้น
ผู้ว่า,//,,,,,,เสร็จสิ้น
ห้าง,,,//,,,,เสร็จสิ้น
ทิวา,//,,,,,,เสร็จสิ้น
ชอบ,,//,,,,,เสร็จสิ้น
กทม.,,,//,,,,เสร็จสิ้น
ล็อก,,,//,,,,เสร็จสิ้น
ตรัง,,,//,,,,เสร็จสิ้น
จ่า,,,//,,,,เสร็จสิ้น
ธุรกิจ,,,//,,,,เสร็จสิ้น
ปชช,,,//,,,,เสร็จสิ้น
นึง,,,//,,,,เสร็จสิ้น
หลาย,,,//,,,,เสร็จสิ้น
เซ็ง,,,,,//,,เสร็จสิ้น
ชีวะ,,,//,,,,เสร็จสิ้น
คิดถึง,//,,,,,,เสร็จสิ้น
สวยงาม,//,,,,,,เสร็จสิ้น
มงคล,,,//,,,,เสร็จสิ้น
สะกด,,,//,,,,เสร็จสิ้น
แอ,,,//,,,,เสร็จสิ้น
สะดวก,,//,,,,,เสร็จสิ้น
สุภาพ,//,,,,,,เสร็จสิ้น
ไม้,,,//,,,,เสร็จสิ้น
มกรา,,,//,,,,เสร็จสิ้น
หืมมม,,,//,,,,เสร็จสิ้น
ฟังก์ชัน,,,//,,,,เสร็จสิ้น
หน้าต่าง,,,//,,,,เสร็จสิ้น
ประชด,,,,,//,,เสร็จสิ้น
กล่อง,,,//,,,,เสร็จสิ้น
แต่ง,,,//,,,,เสร็จสิ้น
สำเร็จ,//,,,,,,เสร็จสิ้น
มั้ง,,,,//,,,เสร็จสิ้น
วิเชียร,,,//,,,,เสร็จสิ้น
คุณหนู,//,,,,,,เสร็จสิ้น
ครับ,//,,,,,,เสร็จสิ้น
เสื้อ,,,//,,,,เสร็จสิ้น
ปัง,//,,,,,,เสร็จสิ้น
ถูกหวย,,,//,,,,เสร็จสิ้น
พละ,,,//,,,,เสร็จสิ้น
หลาน,,,//,,,,เสร็จสิ้น
คริสตัล,,,//,,,,เสร็จสิ้น
อิง,//,,,,,,เสร็จสิ้น
ปี้,,,//,,,,เสร็จสิ้น
ประหยัด,,,//,,,,เสร็จสิ้น
แขกรับเชิญ,//,,,,,,เสร็จสิ้น
แคน,,,//,,,,เสร็จสิ้น
ค่าเรียน,,,//,,,,เสร็จสิ้น
ของคาว,,,//,,,,เสร็จสิ้น
จน,,,,,,//,เสร็จสิ้น
จันทร์,,,//,,,,เสร็จสิ้น
จะ,,,//,,,,เสร็จสิ้น
ซุก,,,,,,//,เสร็จสิ้น
ตะวัน,,,//,,,,เสร็จสิ้น
ข่มขืน,,,,,//,,เสร็จสิ้น
ต่อย,,,,,//,,เสร็จสิ้น
ลดราคา,,,//,,,,เสร็จสิ้น
กรวดน้ำ,,,,,,//,เสร็จสิ้น
ขับ,,,//,,,,เสร็จสิ้น
ชั่ว,,,,,//,,เสร็จสิ้น
ซวย,,,,,,//,เสร็จสิ้น
วันเกิด,,,//,,,,เสร็จสิ้น
สวย,,//,,,,,เสร็จสิ้น
เอ่ย,,,//,,,,เสร็จสิ้น
ร้อง,,,//,,,,เสร็จสิ้น
งู,,,//,,,,เสร็จสิ้น
แบบ,,,//,,,,เสร็จสิ้น
ซอง,,,//,,,,เสร็จสิ้น
ความสุข,//,,,,,,เสร็จสิ้น
ผ่า,,,//,,,,เสร็จสิ้น
ลูกชาย,,//,,,,,เสร็จสิ้น
ทายาท,//,,,,,,เสร็จสิ้น
สรรเสริญ,//,,,,,,เสร็จสิ้น
ดีกรี,,,//,,,,เสร็จสิ้น
จริง,,,//,,,,เสร็จสิ้น
เธอ,,//,,,,,เสร็จสิ้น
ฮะ,,,//,,,,เสร็จสิ้น
ฮ้า,,,,,,//,เสร็จสิ้น
จ้ะ,,,//,,,,เสร็จสิ้น
สั้น,,//,,,,,เสร็จสิ้น
ลัก,,,,//,,,เสร็จสิ้น
ว่ายน้ำ,,,//,,,,เสร็จสิ้น
เหนื่อย,,,//,,,,เสร็จสิ้น
สัญญา,,//,,,,,เสร็จสิ้น
ตื่นเต้น,,,//,,,,เสร็จสิ้น
แบ็งค์,,,//,,,,เสร็จสิ้น
ยอดเยี่ยม,//,,,,,,เสร็จสิ้น
กับ,,,//,,,,เสร็จสิ้น
รมต.,,//,,,,,เสร็จสิ้น
rep,//,,,,,,เสร็จสิ้น
โอ้โห,,,//,,,,เสร็จสิ้น
โอ,//,,,,,,เสร็จสิ้น
พาส,,,//,,,,เสร็จสิ้น
นักเขียน,,//,,,,,เสร็จสิ้น
อุณหภูมิ,,,//,,,,เสร็จสิ้น
คอนโด,,,//,,,,เสร็จสิ้น
อนุโมทนา,//,,,,,,เสร็จสิ้น
จ.,,,//,,,,เสร็จสิ้น
ค้าง,,,//,,,,เสร็จสิ้น
จำเลย,,//,,,,,เสร็จสิ้น
เมื่อ,,,//,,,,เสร็จสิ้น
รุ่น,,,//,,,,เสร็จสิ้น
เมื่อคืน,,,//,,,,เสร็จสิ้น
เหงื่อ,,,//,,,,เสร็จสิ้น
คดี,,,//,,,,เสร็จสิ้น
ฮึ,,,//,,,,เสร็จสิ้น
เอ็น,,,//,,,,เสร็จสิ้น
เซ่,,,,//,,,เสร็จสิ้น
สน.,,,//,,,,เสร็จสิ้น
อัพโหลด,,,//,,,,เสร็จสิ้น
เนื้อ,,,//,,,,เสร็จสิ้น
นี่,,,//,,,,เสร็จสิ้น
ตลอดวัน,,,//,,,,เสร็จสิ้น
สดใส,,,//,,,,เสร็จสิ้น
ดิน,,,//,,,,เสร็จสิ้น
ช้า,,,//,,,,เสร็จสิ้น
อ้วง,,,//,,,,เสร็จสิ้น
อาทิตย์,,,//,,,,เสร็จสิ้น
หลอ,,,,//,,,เสร็จสิ้น
ใช่,,,//,,,,เสร็จสิ้น
ลัง,,,//,,,,เสร็จสิ้น
ขอบคุณ,,//,,,,,เสร็จสิ้น
กลางๆ,,,//,,,,เสร็จสิ้น
ยาสีฟัน,,,//,,,,เสร็จสิ้น
เกาะ,,,//,,,,เสร็จสิ้น
ค้าบ,,//,,,,,เสร็จสิ้น
ดั่ง,,,//,,,,เสร็จสิ้น
มุ,//,,,,,,เสร็จสิ้น
ห๊ะ,,,,//,,,เสร็จสิ้น
ล่วงหน้า,,//,,,,,เสร็จสิ้น
วี,//,,,,,,เสร็จสิ้น
สวนครัว,,,//,,,,เสร็จสิ้น
สก็อต,,,//,,,,เสร็จสิ้น
ทัน,,,//,,,,เสร็จสิ้น
แต่งงาน,//,,,,,,เสร็จสิ้น
รัก,//,,,,,,เสร็จสิ้น
ขา,,,//,,,,เสร็จสิ้น
ห้องนอน,,,//,,,,เสร็จสิ้น
คะ,,//,,,,,เสร็จสิ้น
กระปุก,,,//,,,,เสร็จสิ้น
จุฬา,,,//,,,,เสร็จสิ้น
อ้วก,,,,,//,,เสร็จสิ้น
มีประโยชน์,,//,,,,,เสร็จสิ้น
แตก,,,//,,,,เสร็จสิ้น
แหม,,,,//,,,เสร็จสิ้น
เนต,,,,,,//,เสร็จสิ้น
ภูมิใจ,//,,,,,,เสร็จสิ้น
เอส,//,,,,,,เสร็จสิ้น
ร้านเหล้า,,,//,,,,เสร็จสิ้น
ยุง,,,//,,,,เสร็จสิ้น
แม่น้ำ,,,//,,,,เสร็จสิ้น
นานา,,,//,,,,เสร็จสิ้น
สาว,,,//,,,,เสร็จสิ้น
จังหวัด,,,//,,,,เสร็จสิ้น
สึด,,,,//,,,เสร็จสิ้น
ละเลย,,,,,//,,เสร็จสิ้น
ทรมาน,,,,,//,,เสร็จสิ้น
ชา,,,//,,,,เสร็จสิ้น
ตร.,,,//,,,,เสร็จสิ้น
คิดมาก,,//,,,,,เสร็จสิ้น
เชื่อมั่น,//,,,,,,เสร็จสิ้น
ดำน้ำ,,,//,,,,เสร็จสิ้น
เมื่อเช้า,,,//,,,,เสร็จสิ้น
สวน,,,//,,,,เสร็จสิ้น
โกโก้,,,//,,,,เสร็จสิ้น
ออนไลน์,,,//,,,,เสร็จสิ้น
ชม.,,,//,,,,เสร็จสิ้น
ปู,,,//,,,,เสร็จสิ้น
หวาน,,,//,,,,เสร็จสิ้น
น้ำมัน,,,//,,,,เสร็จสิ้น
งานแต่ง,,,//,,,,เสร็จสิ้น
โทษ,,,,//,,,เสร็จสิ้น
เปล่า,,,//,,,,เสร็จสิ้น
ตี,,,,,//,,เสร็จสิ้น
อิอิ,,,//,,,,เสร็จสิ้น
ศัล,,,//,,,,เสร็จสิ้น
หอม,,,//,,,,เสร็จสิ้น
หนู,//,,,,,,เสร็จสิ้น
สะอาด,//,,,,,,เสร็จสิ้น
อัพเดท,,,//,,,,เสร็จสิ้น
ครอบครัว,//,,,,,,เสร็จสิ้น
อย่า,,,//,,,,เสร็จสิ้น
ยอมแพ้,,,//,,,,เสร็จสิ้น
คุกเข่า,//,,,,,,เสร็จสิ้น
ชิงหมาเกิด,,,,,//,,เสร็จสิ้น
สภาพ,,,,,,//,เสร็จสิ้น
จ้า,,,//,,,,เสร็จสิ้น
เน๊าะ,,,//,,,,เสร็จสิ้น
วิน,,,//,,,,เสร็จสิ้น
ดูถูก,,,,,//,,เสร็จสิ้น
รัฐ,,,//,,,,เสร็จสิ้น
ป้า,,,//,,,,เสร็จสิ้น
ครู,,,//,,,,เสร็จสิ้น
เพลง,,,//,,,,เสร็จสิ้น
คับ,//,,,,,,เสร็จสิ้น
ให้กำลังใจ,//,,,,,,เสร็จสิ้น
กรู,,,,,//,,เสร็จสิ้น
กค,,,,,,//,เสร็จสิ้น
ผู้ร้าย,,,//,,,,เสร็จสิ้น
สีชมพู,,,//,,,,เสร็จสิ้น
ไมครอน,,,//,,,,เสร็จสิ้น
น๊า,,//,,,,,เสร็จสิ้น
เทป,,,//,,,,เสร็จสิ้น
คุกกี้,,,//,,,,เสร็จสิ้น
ลุก,,,//,,,,เสร็จสิ้น
ปลาร้า,,,//,,,,เสร็จสิ้น
เทคนิค,,,//,,,,เสร็จสิ้น
วัด,,,//,,,,เสร็จสิ้น
นอก,,,//,,,,เสร็จสิ้น
เท่ห์,//,,,,,,เสร็จสิ้น
งด,,,//,,,,เสร็จสิ้น
เหลือเชื่อ,,,//,,,,เสร็จสิ้น
เมื่อย,,,//,,,,เสร็จสิ้น
ไตปลา,,,//,,,,เสร็จสิ้น
บาท,,,//,,,,เสร็จสิ้น
ตัวเมือง,,,//,,,,เสร็จสิ้น
ป๋อง,,,//,,,,เสร็จสิ้น
เต็นท์,,,//,,,,เสร็จสิ้น
เลิศ,//,,,,,,เสร็จสิ้น
แม่,//,,,,,,เสร็จสิ้น
รึเปล่า,,,//,,,,เสร็จสิ้น
แน่ๆ,,,//,,,,เสร็จสิ้น
ลา,,,//,,,,เสร็จสิ้น
สังคม,,,//,,,,เสร็จสิ้น
งื้อๆๆๆ,,,//,,,,เสร็จสิ้น
กราบ,//,,,,,,เสร็จสิ้น
อะ,,,//,,,,เสร็จสิ้น
งาน,,,//,,,,เสร็จสิ้น
ลุง,,,//,,,,เสร็จสิ้น
ท่วม,,,//,,,,เสร็จสิ้น
โทรศัพท์,,,//,,,,เสร็จสิ้น
โบว์,,,//,,,,เสร็จสิ้น
เพื่อนรัก,//,,,,,,เสร็จสิ้น
กำลังใจ,//,,,,,,เสร็จสิ้น
แปด,,,//,,,,เสร็จสิ้น
ศิษย์,,,//,,,,เสร็จสิ้น
จิงๆ,,,//,,,,เสร็จสิ้น
ทั้งสอง,,,//,,,,เสร็จสิ้น
กดดัน,,,,,//,,เสร็จสิ้น
เครื่องครัว,,,//,,,,เสร็จสิ้น
ชาม,,,//,,,,เสร็จสิ้น
ทบ.,,,//,,,,เสร็จสิ้น
จาน,,,//,,,,เสร็จสิ้น
สุนัข,//,,,,,,เสร็จสิ้น
ซู่ๆ,//,,,,,,เสร็จสิ้น
เทอม,,,//,,,,เสร็จสิ้น
อ่อ,,,//,,,,เสร็จสิ้น
ซี๊ด,,,//,,,,เสร็จสิ้น
ชั่ย,,,//,,,,เสร็จสิ้น
ป่วย,,,//,,,,เสร็จสิ้น
ใบ,,,//,,,,เสร็จสิ้น
เนอะ,,,//,,,,เสร็จสิ้น
พัน,,,//,,,,เสร็จสิ้น
วันนี้,,,//,,,,เสร็จสิ้น
เรียน,,,//,,,,เสร็จสิ้น
นิล,,,//,,,,เสร็จสิ้น
ดวงจันทร์,,,//,,,,เสร็จสิ้น
ทุก,,,//,,,,เสร็จสิ้น
เล็บมือ,,,//,,,,เสร็จสิ้น
เร็ก,,,//,,,,เสร็จสิ้น
ล้าน,,,//,,,,เสร็จสิ้น
โอ๊ย,,,,,,//,เสร็จสิ้น
ฝน,,,//,,,,เสร็จสิ้น
เด้อ,,//,,,,,เสร็จสิ้น
โต,,,//,,,,เสร็จสิ้น
สุนทรี,,//,,,,,เสร็จสิ้น
เป่า,,,//,,,,เสร็จสิ้น
หมายศาล,,,//,,,,เสร็จสิ้น
โพ,,,//,,,,เสร็จสิ้น
ทนไม่ไหว,,,,,//,,เสร็จสิ้น
กล้า,,,//,,,,เสร็จสิ้น
ดิส,,,//,,,,เสร็จสิ้น
พื้น,,,//,,,,เสร็จสิ้น
ปีก่อน,,,//,,,,เสร็จสิ้น
คอนเสิร์ต,,,//,,,,เสร็จสิ้น
นักธุรกิจ,,,//,,,,เสร็จสิ้น
ร้อย,,,//,,,,เสร็จสิ้น
พี,//,,,,,,เสร็จสิ้น
สภ.,,,//,,,,เสร็จสิ้น
โว้ย,,,,//,,,เสร็จสิ้น
สุขสันต์,//,,,,,,เสร็จสิ้น
โรงหนัง,,,//,,,,เสร็จสิ้น
โคตร,,,,//,,,เสร็จสิ้น
ทหารผ่านศึก,//,,,,,,เสร็จสิ้น
คร้าบ,,//,,,,,เสร็จสิ้น
ขอบใจ,,//,,,,,เสร็จสิ้น
ดักคอ,,,,,//,,เสร็จสิ้น
เกียรติ,//,,,,,,เสร็จสิ้น
สัมผัส,,,//,,,,เสร็จสิ้น
เสมอ,,,//,,,,เสร็จสิ้น
หมอก,,,//,,,,เสร็จสิ้น
อ่า,,,//,,,,เสร็จสิ้น
ซัพ,,,//,,,,เสร็จสิ้น
บานปลาย,,,//,,,,เสร็จสิ้น
เสาร์,,,//,,,,เสร็จสิ้น
ช็อต,,,//,,,,เสร็จสิ้น
กรี๊ด,,,,//,,,เสร็จสิ้น
โหล,,,,//,,,เสร็จสิ้น
ข้างบน,,,//,,,,เสร็จสิ้น
รอย,,,//,,,,เสร็จสิ้น
บาย,,,//,,,,เสร็จสิ้น
ใกล้เคียง,,,//,,,,เสร็จสิ้น
ท้องฟ้า,,,//,,,,เสร็จสิ้น
เดี่ยว,,,//,,,,เสร็จสิ้น
ลึก,,,//,,,,เสร็จสิ้น
หลงรัก,//,,,,,,เสร็จสิ้น
จริงๆ,,,//,,,,เสร็จสิ้น
ขวด,,,//,,,,เสร็จสิ้น
ซี,,,//,,,,เสร็จสิ้น
เปอร์,,,//,,,,เสร็จสิ้น
เน้อ,,,//,,,,เสร็จสิ้น
ค่ำ,,,//,,,,เสร็จสิ้น
ทิตย์,,,//,,,,เสร็จสิ้น
ทีหลัง,,,,//,,,เสร็จสิ้น
จัง,,,//,,,,เสร็จสิ้น
ชั้น,,,//,,,,เสร็จสิ้น
sooo,,,,,,//,เสร็จสิ้น
ล่อ,,,,//,,,เสร็จสิ้น
ลูกหนัง,,,//,,,,เสร็จสิ้น
พัฒนา,//,,,,,,เสร็จสิ้น
ลบ,,,//,,,,เสร็จสิ้น
เรือ,,,//,,,,เสร็จสิ้น
ขยะ,,,//,,,,เสร็จสิ้น
แอน,//,,,,,,เสร็จสิ้น
นุ้น,,,//,,,,เสร็จสิ้น
ไอแพด,,,//,,,,เสร็จสิ้น
เมตตา,//,,,,,,เสร็จสิ้น
อัน,,,//,,,,เสร็จสิ้น
แพทย์,,//,,,,,เสร็จสิ้น
เป็นไง,,//,,,,,เสร็จสิ้น
พลังงาน,,,//,,,,เสร็จสิ้น
ไว้,,,//,,,,เสร็จสิ้น
แน่ะ,,,//,,,,เสร็จสิ้น
ทักษิณ,,,//,,,,เสร็จสิ้น
เสียใจ,,//,,,,,เสร็จสิ้น
ก้าว,,,//,,,,เสร็จสิ้น
ต.,,,//,,,,เสร็จสิ้น
ขี่,,,//,,,,เสร็จสิ้น
เฟส,,,//,,,,เสร็จสิ้น
ท้อ,,,//,,,,เสร็จสิ้น
รึ,,,//,,,,เสร็จสิ้น
แจ็ค,//,,,,,,เสร็จสิ้น
งบประมาณ,,,//,,,,เสร็จสิ้น
มังกร,,,//,,,,เสร็จสิ้น
โฮป,,,//,,,,เสร็จสิ้น
มากมาย,,,//,,,,เสร็จสิ้น
เฝ้า,,//,,,,,เสร็จสิ้น
เห้ย,,,,//,,,เสร็จสิ้น
เครียด,,,//,,,,เสร็จสิ้น
ฝั่ง,,,//,,,,เสร็จสิ้น
อากาศ,,,//,,,,เสร็จสิ้น
วิทยาศาสตร์,,,//,,,,เสร็จสิ้น
ไม้ยืนต้น,,,//,,,,เสร็จสิ้น
โม,,,//,,,,เสร็จสิ้น
เซฟ,,,//,,,,เสร็จสิ้น
ทำวัตรเช้า,,,//,,,,เสร็จสิ้น
ทาน,,,//,,,,เสร็จสิ้น
เปลือง,,,,,//,,เสร็จสิ้น
พร้อม,,,//,,,,เสร็จสิ้น
อาหารคาว,,,//,,,,เสร็จสิ้น
กิโล,,,//,,,,เสร็จสิ้น
รอยยิ้ม,,,//,,,,เสร็จสิ้น
ข้างๆ,,,//,,,,เสร็จสิ้น
ไมเคิล,,,//,,,,เสร็จสิ้น
ศัลยกรรม,,,//,,,,เสร็จสิ้น
หลง,,,//,,,,เสร็จสิ้น
เค,,,//,,,,เสร็จสิ้น
พฤหัส,,,//,,,,เสร็จสิ้น
ตัว,,,//,,,,เสร็จสิ้น
ดอกไม้,,,//,,,,เสร็จสิ้น
จิตแพทย์,,,//,,,,เสร็จสิ้น
พก,,,//,,,,เสร็จสิ้น
ทีม,,,//,,,,เสร็จสิ้น
จ๊ะ,,,//,,,,เสร็จสิ้น
หมื่น,,,//,,,,เสร็จสิ้น
แหละ,,,//,,,,เสร็จสิ้น
หมอ,,,//,,,,เสร็จสิ้น
โคลน,,,//,,,,เสร็จสิ้น
สุดใจ,//,,,,,,เสร็จสิ้น
ชัยภูมิ,,,//,,,,เสร็จสิ้น
เท้า,,//,,,,,เสร็จสิ้น
สนใจ,,//,,,,,เสร็จสิ้น
พี่,,//,,,,,เสร็จสิ้น
ภพ,,,//,,,,เสร็จสิ้น
ผู้,,,//,,,,เสร็จสิ้น
ข้อกล่าวหา,,,//,,,,เสร็จสิ้น
ทรง,,,//,,,,เสร็จสิ้น
ลงตัว,,,//,,,,เสร็จสิ้น
แดง,,,//,,,,เสร็จสิ้น
เคย,,,//,,,,เสร็จสิ้น
ไส้,,,//,,,,เสร็จสิ้น
โรงบาล,,,//,,,,เสร็จสิ้น
ห้อ,,,//,,,,เสร็จสิ้น
เด็กนักเรียน,,,//,,,,เสร็จสิ้น
เจ้าหญิง,//,,,,,,เสร็จสิ้น
พายุ,,,//,,,,เสร็จสิ้น
ซะ,,,//,,,,เสร็จสิ้น
เท่,//,,,,,,เสร็จสิ้น
อ้อ,,,//,,,,เสร็จสิ้น
พบ,,,//,,,,เสร็จสิ้น
แกะ,,,//,,,,เสร็จสิ้น
มั่ง,,,//,,,,เสร็จสิ้น
ทนาย,,,//,,,,เสร็จสิ้น
วัว,,,//,,,,เสร็จสิ้น
หิว,,,//,,,,เสร็จสิ้น
ว๊าก,,,,,//,,เสร็จสิ้น
เต้นท์,,,//,,,,เสร็จสิ้น
ทำร้าย,,,,,//,,เสร็จสิ้น
กอด,//,,,,,,เสร็จสิ้น
ปวดหัว,,,//,,,,เสร็จสิ้น
ธรรมศาสตร์,,,//,,,,เสร็จสิ้น
เซ,,,//,,,,เสร็จสิ้น
หรี่,,,,,/,,เสร็จสิ้น
แอด,,,//,,,,เสร็จสิ้น
ที่ผ่านมา,,,//,,,,เสร็จสิ้น
โอ้ย,,,,//,,,เสร็จสิ้น
สลบ,,,//,,,,เสร็จสิ้น
มีนา,,,//,,,,เสร็จสิ้น
ขึ้น,,,//,,,,เสร็จสิ้น
ต่าง,,,//,,,,เสร็จสิ้น
เดี๋ยวนี้,,,//,,,,เสร็จสิ้น
วุ้ย,,,,,//,,เสร็จสิ้น
โดดเด่น,,,//,,,,เสร็จสิ้น
ทิต,,,//,,,,เสร็จสิ้น
สบาย,,,//,,,,เสร็จสิ้น
บาง,,,//,,,,เสร็จสิ้น
เอ้า,,,//,,,,เสร็จสิ้น
พรหมลิขิต,//,,,,,,เสร็จสิ้น
เงินเฟ้อ,,,//,,,,เสร็จสิ้น
ปอย,,,//,,,,เสร็จสิ้น
มั้ย,,,//,,,,เสร็จสิ้น
เป็น,,,//,,,,เสร็จสิ้น
เฟซ,,,//,,,,เสร็จสิ้น
ทาส,,,//,,,,เสร็จสิ้น
อนิเมะ,,,//,,,,เสร็จสิ้น
อินโดฯ,,,//,,,,เสร็จสิ้น
ฝนตก,,,//,,,,เสร็จสิ้น
คัม,,,//,,,,เสร็จสิ้น
เมะ,,,//,,,,เสร็จสิ้น
เล่า,,,//,,,,เสร็จสิ้น
หรือ,,,//,,,,เสร็จสิ้น
น.,,,//,,,,เสร็จสิ้น
ฝ่า,,,//,,,,เสร็จสิ้น
กันเอง,//,,,,,,เสร็จสิ้น
ห่อหมก,,,//,,,,เสร็จสิ้น
แมนเชสเตอร์,,,//,,,,เสร็จสิ้น
เชฟโรเลต,,,//,,,,เสร็จสิ้น
ที่ๆ,,,//,,,,เสร็จสิ้น
อุตุ,,,//,,,,เสร็จสิ้น
สสส,,,//,,,,เสร็จสิ้น
ดูก่อน,,,//,,,,เสร็จสิ้น
ตกใจ,,,//,,,,เสร็จสิ้น
ตา,,,//,,,,เสร็จสิ้น
ถั่วเขียว,,,//,,,,เสร็จสิ้น
ระวัง,//,,,,,,เสร็จสิ้น
อุ้ย,,,//,,,,เสร็จสิ้น
พังงา,,,//,,,,เสร็จสิ้น
มี้,//,,,,,,เสร็จสิ้น
นักเตะ,,,//,,,,เสร็จสิ้น
ตรี,,,//,,,,เสร็จสิ้น
ธนาคาร,,,//,,,,เสร็จสิ้น
ยิง,,,//,,,,เสร็จสิ้น
พีท,,,//,,,,เสร็จสิ้น
ซัพพอร์ต,//,,,,,,เสร็จสิ้น
ซักผ้า,,,//,,,,เสร็จสิ้น
หนัง,,,//,,,,เสร็จสิ้น
ชิบหาย,,,,,//,,เสร็จสิ้น
สมัคร,,,//,,,,เสร็จสิ้น
