   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,
คำ (Word),"ให้เกียรติมาก 
(Highly Respectful)",ให้เกียรติ (Respectful),"ปกติ 
(Normal)",ไม่ให้เกียรติ (Disrespectful),ไม่ให้เกียรติมาก (Highly Disrespectful),"บอกไม่ได้ 
(Cannot describe)"
ชา,,,//,,,
ตร.,,,//,,,
คิดมาก,,//,,,,
เชื่อมั่น,//,,,,,
ดำน้ำ,,,//,,,
เมื่อเช้า,,,//,,,
สวน,,,//,,,
โกโก้,,,//,,,
ออนไลน์,,,//,,,
ชม.,,,//,,,
ปู,,,//,,,
หวาน,,,//,,,
น้ำมัน,,,//,,,
งานแต่ง,,,//,,,
โทษ,,,,//,,
เปล่า,,,//,,,
ตี,,,,,//,
อิอิ,,,//,,,
ศัล,,,//,,,
หอม,,,//,,,
หนู,//,,,,,
สะอาด,//,,,,,
อัพเดท,,,//,,,
ครอบครัว,//,,,,,
อย่า,,,//,,,
ยอมแพ้,,,//,,,
คุกเข่า,//,,,,,
ชิงหมาเกิด,,,,,//,
สภาพ,,,,,,//
จ้า,,,//,,,
เน๊าะ,,,//,,,
วิน,,,//,,,
ดูถูก,,,,,//,
รัฐ,,,//,,,
ป้า,,,//,,,
ครู,,,//,,,
เพลง,,,//,,,
คับ,//,,,,,
ให้กำลังใจ,//,,,,,
กรู,,,,,//,
กค,,,,,,//
ผู้ร้าย,,,//,,,
สีชมพู,,,//,,,
ไมครอน,,,//,,,
น๊า,,//,,,,
เทป,,,//,,,
คุกกี้,,,//,,,
ลุก,,,//,,,
ปลาร้า,,,//,,,
เทคนิค,,,//,,,
วัด,,,//,,,
นอก,,,//,,,
เท่ห์,//,,,,,
งด,,,//,,,
เหลือเชื่อ,,,//,,,
เมื่อย,,,//,,,
ไตปลา,,,//,,,
บาท,,,//,,,
ตัวเมือง,,,//,,,
ป๋อง,,,//,,,
เต็นท์,,,//,,,
เลิศ,//,,,,,
แม่,//,,,,,
รึเปล่า,,,//,,,
แน่ๆ,,,//,,,
ลา,,,//,,,
สังคม,,,//,,,
งื้อๆๆๆ,,,//,,,
กราบ,//,,,,,
อะ,,,//,,,
งาน,,,//,,,
ลุง,,,//,,,
ท่วม,,,//,,,
โทรศัพท์,,,//,,,
โบว์,,,//,,,
เพื่อนรัก,//,,,,,
กำลังใจ,//,,,,,
แปด,,,//,,,
ศิษย์,,,//,,,
จิงๆ,,,//,,,
ทั้งสอง,,,//,,,
กดดัน,,,,,//,
เครื่องครัว,,,//,,,
ชาม,,,//,,,
ทบ.,,,//,,,
จาน,,,//,,,
สุนัข,//,,,,,
ซู่ๆ,//,,,,,
เทอม,,,//,,,
อ่อ,,,//,,,
ซี๊ด,,,//,,,
ชั่ย,,,//,,,
ป่วย,,,//,,,
ใบ,,,//,,,
เนอะ,,,//,,,
พัน,,,//,,,
วันนี้,,,//,,,
เรียน,,,//,,,
นิล,,,//,,,
ดวงจันทร์,,,//,,,
ทุก,,,//,,,
เล็บมือ,,,//,,,
เร็ก,,,//,,,
ล้าน,,,//,,,
โอ๊ย,,,,,,//
ฝน,,,//,,,
เด้อ,,//,,,,
โต,,,//,,,
สุนทรี,,//,,,,
เป่า,,,//,,,
หมายศาล,,,//,,,
โพ,,,//,,,
ทนไม่ไหว,,,,,//,
กล้า,,,//,,,
ดิส,,,//,,,
พื้น,,,//,,,
ปีก่อน,,,//,,,
คอนเสิร์ต,,,//,,,
นักธุรกิจ,,,//,,,
ร้อย,,,//,,,
พี,//,,,,,
สภ.,,,//,,,
โว้ย,,,,//,,
สุขสันต์,//,,,,,
โรงหนัง,,,//,,,
โคตร,,,,//,,
ทหารผ่านศึก,//,,,,,
คร้าบ,,//,,,,
ขอบใจ,,//,,,,
ดักคอ,,,,,//,
เกียรติ,//,,,,,
สัมผัส,,,//,,,
เสมอ,,,//,,,
หมอก,,,//,,,
อ่า,,,//,,,
ซัพ,,,//,,,
บานปลาย,,,//,,,
เสาร์,,,//,,,
ช็อต,,,//,,,
กรี๊ด,,,,//,,
โหล,,,,//,,
ข้างบน,,,//,,,
รอย,,,//,,,
บาย,,,//,,,
ใกล้เคียง,,,//,,,
ท้องฟ้า,,,//,,,
เดี่ยว,,,//,,,
ลึก,,,//,,,
หลงรัก,//,,,,,
จริงๆ,,,//,,,
ขวด,,,//,,,
ซี,,,//,,,
เปอร์,,,//,,,
เน้อ,,,//,,,
ค่ำ,,,//,,,
ทิตย์,,,//,,,
ทีหลัง,,,,//,,
จัง,,,//,,,
ชั้น,,,//,,,
sooo,,,,,,//
ล่อ,,,,//,,
ลูกหนัง,,,//,,,
พัฒนา,//,,,,,
ลบ,,,//,,,
เรือ,,,//,,,
ขยะ,,,//,,,
แอน,//,,,,,
นุ้น,,,//,,,
ไอแพด,,,//,,,
เมตตา,//,,,,,
อัน,,,//,,,
แพทย์,,//,,,,
เป็นไง,,//,,,,
พลังงาน,,,//,,,
ไว้,,,//,,,
แน่ะ,,,//,,,
ทักษิณ,,,//,,,
เสียใจ,,//,,,,
ก้าว,,,//,,,
ต.,,,//,,,
ขี่,,,//,,,
เฟส,,,//,,,
ท้อ,,,//,,,
รึ,,,//,,,
แจ็ค,//,,,,,
งบประมาณ,,,//,,,
มังกร,,,//,,,
โฮป,,,//,,,
มากมาย,,,//,,,
เฝ้า,,//,,,,
เห้ย,,,,//,,
เครียด,,,//,,,
ฝั่ง,,,//,,,
อากาศ,,,//,,,
วิทยาศาสตร์,,,//,,,
ไม้ยืนต้น,,,//,,,
โม,,,//,,,
เซฟ,,,//,,,
ทำวัตรเช้า,,,//,,,
ทาน,,,//,,,
เปลือง,,,,,//,
พร้อม,,,//,,,
อาหารคาว,,,//,,,
กิโล,,,//,,,
รอยยิ้ม,,,//,,,
ข้างๆ,,,//,,,
ไมเคิล,,,//,,,
ศัลยกรรม,,,//,,,
หลง,,,//,,,
เค,,,//,,,
พฤหัส,,,//,,,
ตัว,,,//,,,
ดอกไม้,,,//,,,
จิตแพทย์,,,//,,,
พก,,,//,,,
ทีม,,,//,,,
จ๊ะ,,,//,,,
หมื่น,,,//,,,
แหละ,,,//,,,
หมอ,,,//,,,
โคลน,,,//,,,
สุดใจ,//,,,,,
ชัยภูมิ,,,//,,,
เท้า,,//,,,,
สนใจ,,//,,,,
พี่,,//,,,,
ภพ,,,//,,,
ผู้,,,//,,,
ข้อกล่าวหา,,,//,,,
ทรง,,,//,,,
ลงตัว,,,//,,,
แดง,,,//,,,
เคย,,,//,,,
ไส้,,,//,,,
โรงบาล,,,//,,,
ห้อ,,,//,,,
เด็กนักเรียน,,,//,,,
เจ้าหญิง,//,,,,,
พายุ,,,//,,,
ซะ,,,//,,,
เท่,//,,,,,
อ้อ,,,//,,,
พบ,,,//,,,
แกะ,,,//,,,
มั่ง,,,//,,,
ทนาย,,,//,,,
วัว,,,//,,,
หิว,,,//,,,
ว๊าก,,,,,//,
เต้นท์,,,//,,,
ทำร้าย,,,,,//,
กอด,//,,,,,
ปวดหัว,,,//,,,
ธรรมศาสตร์,,,//,,,
เซ,,,//,,,
หรี่,,,,,/,
แอด,,,//,,,
ที่ผ่านมา,,,//,,,
โอ้ย,,,,//,,
สลบ,,,//,,,
มีนา,,,//,,,
ขึ้น,,,//,,,
ต่าง,,,//,,,
เดี๋ยวนี้,,,//,,,
วุ้ย,,,,,//,
โดดเด่น,,,//,,,
ทิต,,,//,,,
สบาย,,,//,,,
บาง,,,//,,,
เอ้า,,,//,,,
พรหมลิขิต,//,,,,,
เงินเฟ้อ,,,//,,,
ปอย,,,//,,,
มั้ย,,,//,,,
เป็น,,,//,,,
เฟซ,,,//,,,
ทาส,,,//,,,
อนิเมะ,,,//,,,
อินโดฯ,,,//,,,
ฝนตก,,,//,,,
คัม,,,//,,,
เมะ,,,//,,,
เล่า,,,//,,,
หรือ,,,//,,,
น.,,,//,,,
ฝ่า,,,//,,,
กันเอง,//,,,,,
ห่อหมก,,,//,,,
แมนเชสเตอร์,,,//,,,
เชฟโรเลต,,,//,,,
ที่ๆ,,,//,,,
อุตุ,,,//,,,
สสส,,,//,,,
ดูก่อน,,,//,,,
ตกใจ,,,//,,,
ตา,,,//,,,
ถั่วเขียว,,,//,,,
ระวัง,//,,,,,
อุ้ย,,,//,,,
พังงา,,,//,,,
มี้,//,,,,,
นักเตะ,,,//,,,
ตรี,,,//,,,
ธนาคาร,,,//,,,
ยิง,,,//,,,
พีท,,,//,,,
ซัพพอร์ต,//,,,,,
ซักผ้า,,,//,,,
หนัง,,,//,,,
ชิบหาย,,,,,//,
สมัคร,,,//,,,
เจ้า,,,,//,,
นู่น,,,//,,,
ต่างชาติ,,,//,,,
สอบ,,,//,,,
คร่า,,//,,,,
เข้า,,,//,,,
โพด,,,,//,,
ลายมือ,,,//,,,
มีนาคม,,,//,,,
เย็บ,,,//,,,
เลา,,,//,,,
พัง,,,//,,,
เริ่ด,,//,,,,
อ่ะ,,,//,,,
สวัสดี,,//,,,,
ปุ๋ย,,,//,,,
ชนะ,//,,,,,
ศิลปิน,,//,,,,
ตำบล,,,//,,,
ฮือ,,,//,,,
ปลอดภัย,,//,,,,
มี,,,//,,,
สยาม,,,//,,,
เป็นไร,,//,,,,
โรง,,,//,,,
นุ่น,,,//,,,
สามสิบ,,,//,,,
ดือ,,,//,,,
กระดาษ,,,//,,,
ตัด,,,//,,,
อยู่,,,//,,,
ตัน,,,//,,,
นาฬิกาทราย,,,//,,,
ตุลาคม,,,//,,,
พัทยา,,,//,,,
แหวน,,,//,,,
หมู,,,//,,,
หาร,,,//,,,
เศร้าโศก,,,//,,,
หล่า,,,//,,,
น่ากลัว,,,,//,,
น้ำตาล,,,//,,,
หั่น,,,//,,,
ไทยรัฐ,,,//,,,
เป็นหวัด,,,//,,,
พอร์ต,,,//,,,
นร.,,,//,,,
แป้ง,,,//,,,
ลำบาก,,,//,,,
อนุโลม,//,,,,,
มีปัญหา,,,//,,,
อืม,,,//,,,
พส,,,//,,,
หน้าอก,,,,,//,
บาดแผล,,,//,,,
บ่อย,,,//,,,
จำคุก,,,//,,,
ใคร,,,//,,,
ฮับ,//,,,,,
แสน,,,//,,,
น้อย,,,//,,,
ไหน,,,//,,,
ผ้าพันคอ,,,//,,,
บั้ม,,,//,,,
จำกัด,,,//,,,
ย่า,,,//,,,
เบอร์,,,//,,,
ซอส,,,//,,,
ถือ,,,//,,,
ขอบ,,,//,,,
ตำรวจ,,,//,,,
ระนาด,,,//,,,
โปรด,//,,,,,
สิบ,,,//,,,
ม.ค.,,,//,,,
คุ้มครอง,,,//,,,
ไม่,,,//,,,
คอร์ส,,,//,,,
ทิพย์,,,//,,,
หน่อย,,,//,,,
เต็ม,,,//,,,
บ้า,,,,,//,
ชะงัก,,,//,,,
กำลัง,,,//,,,
สมุทรปราการ,,,//,,,
ปาก,,,//,,,
รถติด,,,//,,,
ช่วย,,//,,,,
ทั้งวัน,,,//,,,
การเงิน,,,//,,,
ละมุน,,,//,,,
ดี,//,,,,,
นิว,,,//,,,
โอม,,,//,,,
จำหน่าย,,,//,,,
หนวด,,,//,,,
แตงโม,,,//,,,
ถั่ว,,,//,,,
โรงเรียนเอกชน,,,//,,,
พัก,,,//,,,
สมบูรณาญาสิทธิราชย์,,,//,,,
สอง,,,//,,,
ยังงัย,,,//,,,
ท่า,,,//,,,
เงิน,,,//,,,
ทรัพย์,,,//,,,
อ.,//,,,,,
ยำ,,,//,,,
ใกล้,,,//,,,
ซาลาเปา,,,//,,,
วา,,,//,,,
ร้านอาหาร,,,//,,,
โดน,,,,//,,
น่ะ,,,//,,,
พรุ่งนี้,,,//,,,
เจ็บปวด,,,//,,,
แน่,,,//,,,
เปน,,,//,,,
ยู,,,//,,,
กี,,,,,//,
ทหาร,,,//,,,
เครดิต,,,//,,,
บล็อก,,,,,//,
ตาย,,,,,//,
บาส,,,//,,,
ลง,,,//,,,
สั*,,,,,//,
ละ,,,//,,,
แรง,,,//,,,
ยาย,,//,,,,
ยุ้ย,,,//,,,
คลัง,,,//,,,
ฉัน,//,,,,,
อู้,,,,,//,
มั่นคง,//,,,,,
หุ้น,,,//,,,
คลี,,,//,,,
ดาราจักร,,,//,,,
อร่อย,//,,,,,
ลมแรง,,,//,,,
ไฟล์,,,//,,,
หวะ,,,//,,,
รึปล่าว,,,//,,,
นาน,,,//,,,
เครื่องปรุง,,,//,,,
สนุก,,,//,,,
ดีใจ,//,,,,,
อาจารย์,//,,,,,
ยาม,,,//,,,
คนขับ,,,//,,,
และ,,,//,,,
เบื้องหน้าเบื้องหลัง,,,//,,,
วาน,,,//,,,
นิ้ว,,,//,,,
พยาบาล,,,//,,,
มีชื่อเสียง,//,,,,,
ข้าวเหนียว,,,//,,,
กังวล,,,//,,,
ล้อรถ,,,//,,,
สิ,,,//,,,
ไพร,,,//,,,
เซเว่น,,,//,,,
ซีเกมส์,,,//,,,
ร้องไห้,,,//,,,
นะคะ,//,,,,,
การ์ตูน,,,//,,,
การ์ด,,,//,,,
งานศพ,//,,,,,
แอม,,,//,,,
หรอ,,,//,,,
งี้,,,//,,,
วันก่อน,,,//,,,
ต่อ,,,//,,,
บัญชี,,,//,,,
จี๊ด,,,//,,,
อ้าว,,,//,,,
โทร,,,//,,,
เิง,,,,,,//
อื้อหือ,,,//,,,
รัดกุม,,,//,,,
ชาติ,,,//,,,
อีกหน่อย,,,//,,,
ศร,,,//,,,
ตู้,,,//,,,
อัพ,,,//,,,
หายใจเข้า,,,//,,,
ความ,,,//,,,
ป่าว,,,//,,,
ข้าวผัด,,,//,,,
กระเป๋า,,,//,,,
ฟรี,,,,,//,
เนี่ยะ,,,//,,,
เสด็จ,//,,,,,
ละเอียด,,,//,,,
สบู่,,,//,,,
มุก,,,//,,,
ออก,,,//,,,
ให้,,,//,,,
เกเร,,,,,//,
ยาก,,,//,,,
วรรณกรรม,,,//,,,
ธัญพืช,,,//,,,
หนิ,,,//,,,
น้า,,//,,,,
ประทับใจ,//,,,,,
อาหารสำเร็จรูป,,,//,,,
แกง,,,//,,,
สามารถ,//,,,,,
ราศรี,//,,//,,,
สบายดี,,,,,,
คูณ,,,//,,,
มาร,,,//,,,
จ่ะ,,,//,,,
คนสวย,//,,,,,
นุ่ม,,,//,,,
แก,,,//,,,
หยุด,,,//,,,
มีด,,,//,,,
กระทืบ,,,,,//,
เสา,,,//,,,
พึ่ง,,,//,,,
ซับ,,,//,,,
ส้มตำ,,,//,,,
บวก,,,//,,,
พารา,,,//,,,
คร่ะ,//,,,,,
เต๋า,,,//,,,
ยิ้ม,//,,,,,
นาง,,,//,,,
ม.,,,//,,,
ทรัพย์สิน,,,//,,,
บี,,,//,,,
จมูก,,,//,,,
ตะหาก,,,//,,,
เปิ้ล,,,//,,,
น่าน,,,//,,,
ใน,,,//,,,
สมาธิ,,,//,,,
ไม่งั้น,,,//,,,
อนุ,,,//,,,
วิริยะ,//,,,,,
จอห์น,//,,,,,
ข้าว,//,,,,,
ตก,,,//,,,
รีด,,,//,,,
น้ำท่วม,,,//,,,
ประสาท,,,,,//,
ว้าว,,,//,,,
ติดคุก,,,,,//,
คุม,,,//,,,
นาย,,//,,,,
น่ารัก,//,,,,,
อนันต์,,,//,,,
คืน,,,//,,,
เรา,,//,,,,
อาร์,,,//,,,
เจ็บ,,,//,,,
ปอนด์,//,,,,,
เส้นศูนย์สูตร,,,//,,,
ฉี่,,,//,,,
ข้าวกล้อง,,,//,,,
เสีย,,,,//,,
ประณาม,,,,//,,
เอ้ย,,,,//,,
เดา,,,//,,,
ออกกำลังกาย,,,//,,,
งง,,,//,,,
ท้อง,,,//,,,
อ้ะ,,,//,,,
เงินสด,,,//,,,
30,,,//,,,
เจ๋ง,,//,,,,
บาด,,,//,,,
ปสก,,,//,,,
มิ้ง,//,,,,,
สมดุล,,,//,,,
จูน,//,,,,,
เค้ก,,,//,,,
ตาน,,,,,,//
นางฟ้า,//,,,,,
อบอุ่น,//,,,,,
ชุดว่ายน้ำ,,,//,,,
ยาด,,,//,,,
ปราง,//,,,,,
แดน,//,,,,,
ซัก,,,//,,,
555,,,//,,,
ง้าบบ,,//,,,,
ญาต,,//,,,,
เพิ่ง,,,//,,,
พ่อ,,//,,,,
ก.,,,,,,//
ดูแลตัวเอง,//,,,,,
เกิน,,,//,,,
เรื่อยๆ,,,//,,,
แก้ว,//,,,,,
บ้าง,,,//,,,
เกษตร,,,//,,,
ยะ,,,//,,,
โจเซฟ,//,,,,,
อ่ยย,,//,,,,
สุ่ม,,,//,,,
คั้บบบ,,//,,,,
ที่ดิน,,,//,,,
วรรณคดี,,,//,,,
ซูม,,,//,,,
ที,,,//,,,
ตัวเอง,,,//,,,
เจ้าสัว,//,,,,,
วาย,,,//,,,
งบ,,,//,,,
เอา,,,//,,,
แถม,,,//,,,
ทะยอย,,,//,,,
เข็นครกขึ้นภูเขา,,,//,,,
เบ๋อ,,,//,,,
จี,//,,,,,
ลูกสาว,,//,,,,
ทุกวัน,,,//,,,
เสื้อกันหนาว,,,//,,,
ขั้น,,,//,,,
เอิ่มมม,,,//,,,
ยาดม,,,//,,,
เขา,,//,,,,
เอน,,,//,,,
เจ้าหน้าที่,,//,,,,
ทำนอง,,,//,,,
อุ้ม,,,//,,,
เห้ยยย,,,,//,,
ยิน,,,//,,,
ขิต,,,,//,,
แพง,,,,,//,
ค่ะ,,//,,,,
ปลาช่อน,,,//,,,
ต้าน,,,//,,,
ปลา,,,//,,,
เงินกู้,,,//,,,
ภัย,,,//,,,
พรุ่ง,,,//,,,
ดิ,,,//,,,
สด,,,//,,,
แก้ม,//,,,,,
ธกส.,,,//,,,
บ่า,,,//,,,
นั้น,,,//,,,
รอบเอว,,,//,,,
ตับ,,,//,,,
สุพรรณ,,,//,,,
ส้ม,//,,,,,
หยอก,,,//,,,
ลังเล,,,//,,,
ผม,,//,,,,
หิ้ว,,,//,,,
ความรัก,//,,,,,
วาฬ,//,,,,,
แง้งง,,,//,,,
ลูกเขย,,//,,,,
